trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.1, 'e': 0.5611706555968081}",30,0,-56.37459202582709,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.5561259192739492}",20,0,-70.99650199435784,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
128,False,"{'a': 0.1, 'e': 0.5510879545843949}",25,0,-43.212093657743054,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
129,False,"{'a': 0.1, 'e': 0.5460574023039949}",20,14,-30.959769984606822,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.1, 'e': 0.5410348958321564}",20,0,-14.992727595298165,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.1, 'e': 0.5360210610826388}",25,12,5.601466054378932,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.5310165163779584}",20,0,-23.670688313839626,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.1, 'e': 0.5260218723474116}",30,0,-124.2021115914246,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
134,False,"{'a': 0.1, 'e': 0.5210377318287268}",20,2,-12.15055347291469,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.5160646897733525}",25,0,-57.480030763272424,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.1, 'e': 0.5111033331553859}",35,22,-83.45335329491022,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
137,False,"{'a': 0.1, 'e': 0.506154240884147}",25,4,-19.224077471482126,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.5012179837203983}",20,0,14.269627738792783,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.1, 'e': 0.49629512419621197}",20,12,-67.98102770630547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
140,False,"{'a': 0.1, 'e': 0.4913862165384808}",25,6,13.372984762782636,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.4864918065960707}",30,0,-60.72383285912542,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.1, 'e': 0.48161243177060886}",30,14,17.520067530225255,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.4767486209509004}",20,0,7.044720133727939,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.1, 'e': 0.47190089445096534}",30,13,-62.453845593509,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
145,False,"{'a': 0.1, 'e': 0.4670697639516847}",20,11,16.92144457794535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.4622557324460447}",30,0,-43.55907187278892,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.1, 'e': 0.4574592941879641}",20,0,25.31957842578542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.45268093464469067}",20,0,-41.39339619898397,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.44792113045274856}",30,2,-23.335247821580374,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.1, 'e': 0.4431803493774194}",30,18,-29.532988452631894,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.1, 'e': 0.4384590502757363}",25,2,-2.484366265772056,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.43375768306296963}",20,0,-45.49531823218723,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.4290766886825816}",30,16,-8.949439310870707,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.42441649907962486}",25,15,-48.97255851684001,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.1, 'e': 0.4197775371775603}",20,12,-40.395458045656405,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.1, 'e': 0.41516021685846527}",35,16,-64.15604570711297,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
157,False,"{'a': 0.1, 'e': 0.4105649429466054}",25,0,13.098644554188937,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.40599211119533873}",25,13,-45.191582940031445,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.1, 'e': 0.40144210827732174}",25,0,-36.06893694474846,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.1, 'e': 0.39691531177798456}",20,0,-46.29662833861245,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
